,tic,lawsuit,SettlementAmount,Dismissed
454,ENERQ,1,,Ongoing
455,ENOC,1,,Yes
456,ENP,1,,Yes
457,ENVI,1,,Ongoing
458,ENZY,1,,Ongoing
459,EPAX,1,7500000.0,No
460,EPIC,1,,Yes
461,EPIX,1,,Yes
462,EPOC,1,,Ongoing
463,EQIX,1,,Yes
464,ERIC,1,,Yes
465,ERIF.OB,1,5234277.17,No
466,ERII,1,,Ongoing
467,ERTS,1,,Yes
468,ES,1,26000000.0,No
469,ESBF,1,,No
470,ESCL,1,6000000.0,No
471,ESI,1,,Ongoing
472,ESIC,1,,Yes
473,ESPD,1,,Yes
474,ETFC,1,79000000.0,Yes
475,ETN,1,,Yes
476,ETSY,1,,Ongoing
477,EUBAX,1,25000000.0,No
478,EVCI,1,7725000.0,No
479,EVRY,1,,Ongoing
480,EW,1,,Ongoing
481,EXBX,1,,Yes
482,EXPE,1,,Ongoing
483,EYE,1,,Yes
484,EZPW,1,,Ongoing
485,F1S,1,,Yes
486,FAF,1,,Yes
487,FALC,1,5000000.0,No
488,FARO,1,6875000.0,No
489,FAZ,1,8000000.0,No
490,FB,1,,Ongoing
491,FBC,1,,Ongoing
492,FBN,1,,Ongoing
493,FBP,1,74250000.0,No
494,FBR,1,,Yes
495,FBTX,1,,Yes
496,FCAU,1,,Ongoing
497,FCEN,1,,Yes
498,FCSX,1,4250000.0,NO
499,FDO,1,,Ongoing
500,FEED,1,,Ongoing
501,FEYE,1,,Ongoing
502,FFH,1,,Yes
503,FFHL,1,,No
504,FFN,1,,Yes
505,FHI,1,5000000.0,No
506,FIM,1,,Yes
507,FIO,1,,Ongoing
508,FIRE,1,3200000.0,No
509,FITB,1,16000000.0,Yes
510,FIVE,1,,Yes
511,FLE,1,,Yes
512,FLML,1,,Yes
513,FMCN,1,3700000.0,No
514,FMD,1,,Ongoing
515,FMFC,1,,Ongoing
516,FMT,1,,Yes
517,FNM,1,,Ongoing
518,FNRG,1,,Ongoing
519,FNSR,1,,Yes
520,FORD,1,,Yes
521,FORM,1,,Yes
522,FORSY,1,,Yes
523,FOX,1,,No
524,FOXH,1,,Yes
525,FRAN,1,,Ongoing
526,FRE,1,,Yes
527,FRE-Z,1,,Yes
528,FRGB,1,5500000.0,No
529,FRPT,1,24000000.0,No
530,FRX,1,65000000.0,No
531,FRZ,1,,Ongoing
532,FSIN,1,,Yes
533,FSLR,1,,Ongoing
534,FST,1,,Yes
535,FTBK,1,,Yes
536,FTK,1,,Yes
537,FU,1,,Ongoing
538,FUEL,1,,Ongoing
539,FUN,1,,Yes
540,FUQI,1,,Ongoing
541,FUSFX,1,23600000.0,No
542,FWHT,1,,Yes
543,FWM,1,,Ongoing
544,FXCM,1,,Ongoing
545,FXEN,1,,Yes
546,GA,1,13000000.0,Yes
547,GALE,1,,Ongoing
548,GALT,1,,Ongoing
549,GAPTQ,1,9000000.0,No
550,GAS,1,,Ongoing
551,GCA,1,5850000.0,No
552,GCO,1,,Yes
553,GCT,1,8750000.0,No
554,GCVRZ,1,,Ongoing
555,GDOT,1,,Yes
556,GDT,1,,Yes
557,GE,1,40000000.0,No
558,GENT,1,,Ongoing
559,GENZ,1,,Yes
560,GEOS,1,,Yes
561,GERN,1,,Ongoing
562,GFC,1,1372000.0,No
563,GFIG,1,,Ongoing
564,GFRE,1,2125000.0,No
565,GGP,1,15500000.0,No
566,GGS,1,,Ongoing
567,GIL,1,,Yes
568,GLBL,1,,Yes
569,GLDD,1,,Ongoing
570,GLGL,1,,Yes
571,GLPW,1,,Ongoing
572,GM,1,303000000.0,Ongoing
573,GMCR,1,,Ongoing
574,GMR,1,,Yes
575,GMTN,1,,Yes
576,GMXR,1,,Yes
577,GNVC,1,,Yes
578,GNW,1,,Ongoing
579,GORO,1,,Yes
580,GPCB,1,,Yes
581,GPIC,1,,Yes
582,GRNB,1,1750000.0,Yes
583,GRO,1,3750000.0,No
584,GRPN,1,,Ongoing
585,GRVY,1,5000000.0,No
586,GS,1,,Ongoing
587,GSAT,1,15000000.0,No
588,GSIG,1,3250000.0,No
589,GSK,1,,Yes
590,GTAT,1,,Ongoing
591,GTE,1,2300000.0,No
592,GTI,1,,Yes
593,GTIV,1,,Ongoing
594,GXDX,1,7700000.0,No
595,HANS,1,16250000.0,No
596,HAR,1,,Ongoing
597,HAST,1,,Yes
598,HBAN,1,,Yes
599,HCA,1,,Ongoing
600,HCC,1,10000000.0,No
601,HCLP,1,3800000.0,No
602,HD,1,,Yes
603,HDI,1,,Yes
604,HDNG,1,,Yes
605,HDY,1,,Ongoing
606,HEARQ,1,,No
607,HEAT,1,,Ongoing
608,HEB,1,3600000.0,Ongoing
609,HEK,1,27000000.0,No
610,HELE,1,4500000.0,No
611,HELI,1,,Ongoing
612,HEV,1,4200000.0,No
613,HGR,1,,Ongoing
614,HGSI,1,,Yes
615,HIG,1,,Yes
616,HILL,1,,Yes
617,HIMX,1,1200000.0,No
618,HK,1,,Yes
619,HL,1,,Yes
620,HLF,1,,Ongoing
621,HLSS,1,,Ongoing
622,HLX,1,,Ongoing
623,HLYS,1,7500000.0,No
624,HMA,1,,Ongoing
625,HMB,1,,Yes
626,HMY,1,9000000.0,No
627,HNBC,1,,Yes
628,HNR,1,,Ongoing
629,HNSN,1,8500000.0,No
630,HOM,1,3500000.0,No
631,HOO,1,,Yes
632,HOS,1,,Yes
633,HOTR,1,,Ongoing
634,HOTT,1,,Ongoing
635,HOV,1,4000000.0,No
636,HPQ,1,57000000.0,Yes
637,HPQ2,1,,Ongoing
638,HPY,1,,Yes
639,HQS,1,2750000.0,No
640,HRB,1,,Yes
641,HRH,1,,Yes
642,HRLY,1,10000000.0,No
643,HRZ,1,,Yes
644,HSOA,1,5100000.0,No
645,HSP,1,60000000.0,No
646,HSTX,1,8900000.0,No
647,HTCH,1,,Yes
648,HTZ,1,,Ongoing
649,HUFCQ.PK,1,,No
650,HUM,1,,Yes
651,HUN,1,,Yes
652,HURN,1,27000000.0,No
653,HUSA,1,,Ongoing
654,HWAY,1,,Yes
655,HYC,1,,Yes
656,HYRF.OB,1,4250000.0,No
657,IBIN,1,,Yes
658,IBIO,1,,Ongoing
659,IBM,1,20000000.0,Yes
660,ICLD,1,,Ongoing
661,ICO,1,1375000.0,Yes
662,ICON,1,,Ongoing
663,ICPT,1,,Ongoing
664,ICXT,1,,No
665,IDARQ,1,33750000.0,No
666,IDI,1,2750000.0,Ongoing
667,IEAM,1,3800000.0,No
668,IEC,1,,Ongoing
669,IFIN,1,,Yes
670,IFO,1,3800000.0,No
671,IFT,1,13600000.0,No
672,IGT,1,12500000.0,No
673,IGTE,1,,Yes
674,IIG,1,2800000.0,No
675,IKAN,1,5000000.0,No
676,IL,1,,Ongoing
677,ILE,1,4400000.0,No
678,IMA,1,,Yes
679,IMAX,1,12000000.0,No
680,IMB,1,6500000.0,No
681,IMGV.PK,1,575000.0,No
682,IMH,1,,Yes
683,IMMR,1,,Yes
684,IMMU,1,,Ongoing
685,IMPV,1,,Ongoing
686,IMYN,1,,Yes
687,INAP,1,9500000.0,No
688,INCY,1,,Ongoing
689,INGN,1,,Yes
690,INPC,1,,Yes
691,INSY,1,,Ongoing
692,INTL,1,,Ongoing
693,INVN,1,,Ongoing
694,INWK,1,,Ongoing
695,IO,1,,Yes
696,IOTN,1,5300000.0,No
697,IPAS,1,,Yes
698,IPI,1,,Yes
699,IPSU,1,,Yes
700,IPXL,1,4750000.0,No
701,IQNT,1,,Ongoing
702,IRF,1,90000000.0,No
703,IRG,1,,Ongoing
704,IRMD,1,,Ongoing
705,ISF,1,,Yes
706,ISIS,1,,Yes
707,ISLN,1,15000000.0,No
708,ISPH,1,,Yes
709,ISR,1,,Ongoing
710,ISRG,1,,Ongoing
711,ISYS,1,,Yes
712,ITG,1,,Ongoing
713,ITRI,1,,Yes
714,ITYC,1,,Yes
715,IVC,1,,Ongoing
716,IYXI,1,1100000.0,No
717,JADE,1,2000000.0,No
718,JAH,1,8000000.0,No
719,JAKK,1,,Ongoing
720,JASO,1,4500000.0,No
721,JBII,1,,Ongoing
722,JBL,1,,Yes
723,JCG,1,,Yes
724,JCP,1,,Ongoing
725,JGBO,1,,Yes
726,JKS,1,,Yes
727,JMEI,1,,Ongoing
728,JNJ,1,22900000.0,No
729,JNPR,1,169000000.0,Ongoing
730,JOBS,1,,Yes
731,JOE,1,,Yes
732,JOSB,1,4000000.0,No
733,JPM,1,,Ongoing
734,JRJC,1,,Ongoing
735,JSDA,1,,Yes
736,KBR,1,,Ongoing
737,KCAP,1,,Yes
738,KCG,1,,Yes
739,KEG,1,,Ongoing
740,KERX,1,,Ongoing
741,KEYP,1,,Ongoing
742,KFN,1,,Yes
743,KGC,1,,Ongoing
744,KID,1,,Yes
745,KIOR,1,,Ongoing
746,KITD,1,6001999.0,No
747,KLAC,1,65000000.0,No
748,KMX,1,,Yes
