,gvkey,fyear,datafmt,tic,conm,at,capx,cogs,cshfd,cshpri,dltt,dp,epsfi,epsfx,epspi,epspx,ib,ibmii,mii,ni,nopi,pi,ppent,reuna,sale,seq,teq,txt,wcap,xido,xint,xsga,cshtr_c,at,adjex_f
77,2435,2013,STD,BF.B,BROWN-FORMAN  -CL B,4103,126,863,215.082,213.454,997,50,3.06,3.06,3.08,3.08,659,659,0,659,17,947,526,2894,2991,2032,2032,288,1616,0,26,1122,84096461,4103,1
78,2606,2009,SUMM_STD,CAGAQ,CAGLE'S INC  -CL A,87.619,2.482,281.403,4.617,4.617,25.033,4.492,0.55,0.55,0.55,0.55,2.537,2.537,0,2.537,0.071,3.775,34.869,27.199,307.091,35.335,35.335,1.238,16.76,0,1.605,15.887,655876,87.619,1
79,2606,2009,STD,CAGAQ,CAGLE'S INC  -CL A,87.619,2.482,281.403,4.617,4.617,25.033,4.492,0.55,0.55,0.55,0.55,2.537,2.537,0,2.537,0.071,3.775,34.869,27.199,307.091,35.335,35.335,1.238,16.76,0,1.605,15.887,655876,87.619,1
80,2606,2010,SUMM_STD,CAGAQ,CAGLE'S INC  -CL A,90.313,3.556,288.267,4.616,4.616,16.28,5.175,-0.12,-0.12,-0.12,-0.12,-0.566,-0.566,0,-0.566,0.167,-0.342,33.245,26.633,310.098,34.769,34.769,0.224,10.285,0,1.267,15.898,1057607,90.313,1
81,2606,2010,STD,CAGAQ,CAGLE'S INC  -CL A,90.313,3.556,288.267,4.616,4.616,16.28,5.175,-0.12,-0.12,-0.12,-0.12,-0.566,-0.566,0,-0.566,0.167,-0.342,33.245,26.633,310.098,34.769,34.769,0.224,10.285,0,1.267,15.898,1057607,90.313,1
82,2663,2010,SUMM_STD,CPB,CAMPBELL SOUP CO,6276,315,,343,340,1945,,2.42,2.27,2.44,2.29,791,791,0,844,,1166,2051,8760,7085,926,929,375,-378,53,116,,610625084,6276,1
83,2663,2010,STD,CPB,CAMPBELL SOUP CO,6276,315,4275,343,340,1945,251,2.42,2.42,2.44,2.44,844,844,,844,6,1242,2051,8760,7676,926,929,398,-378,0,116,1786,610625084,6276,1
84,2663,2011,SUMM_STD,CPB,CAMPBELL SOUP CO,6862,272,4002,329,326,2427,253,2.42,2.26,2.44,2.28,752,749,-3,805,-59,1100,2103,9185,7143,1088,1096,351,-26,53,123,1606,594248217,6862,1
85,2663,2011,STD,CPB,CAMPBELL SOUP CO,6862,272,4351,329,326,2427,265,2.42,2.42,2.44,2.44,805,802,-3,805,2,1168,2103,9185,7719,1088,1096,366,-26,0,123,1748,594248217,6862,1
86,2663,2012,SUMM_STD,CPB,CAMPBELL SOUP CO,6530,323,4118,319,317,2004,247,2.41,2.29,2.43,2.3,734,724,-10,774,-8,1049,2127,9584,7175,898,898,325,-299,40,116,1637,507355076,6530,1
87,2663,2012,STD,CPB,CAMPBELL SOUP CO,6530,323,4457,319,317,2004,259,2.41,2.41,2.43,2.43,774,764,-10,774,6,1106,2127,9584,7707,898,898,342,-299,0,116,1756,507355076,6530,1
88,2663,2013,SUMM_STD,CPB,CAMPBELL SOUP CO,8323,336,4667,317,314,2544,382,1.44,2.17,1.46,2.19,689,680,-9,458,-158,955,2260,1772,8052,1217,1210,275,-1061,-231,138,1752,471317910,8323,1
89,2663,2013,STD,CPB,CAMPBELL SOUP CO,8323,336,4667,317,314,2544,396,1.44,2.17,1.46,2.19,689,680,-9,458,8,955,2260,1772,8052,1217,1210,275,-1061,-231,138,1752,471317910,8323,1
90,2710,2009,SUMM_STD,STZ,CONSTELLATION BRANDS,8094.3,107.7,2043.8,221.21,219.831,3277.1,143.8,0.45,0.45,,,99.3,99.3,0,99.3,,259.3,1567.2,1102.8,3364.8,2576.3,2576.3,160,1216.5,0,265.1,,633981498,8094.3,1
91,2710,2009,STD,STZ,CONSTELLATION BRANDS,8094.3,107.7,2038,221.21,219.831,3277.1,149.6,0.45,0.45,0.45,0.45,99.3,99.3,0,99.3,224,259.3,1567.2,1102.8,3364.8,2576.3,2576.3,160,1216.5,0,275.5,651.3,633981498,8094.3,1
92,2710,2010,SUMM_STD,STZ,CONSTELLATION BRANDS,7167.6,89.1,2020.2,213.765,210.91,3136.7,119.2,2.62,2.62,,,559.5,559.5,,559.5,,551,1219.6,1662.3,3332,2551.9,2551.9,-8.5,1420.1,0,195.3,,466139721,7167.6,1
