,gvkey,fyear,datafmt,tic,conm,Sum,diff,,at,capx,cogs,cshfd,cshpri,dltt,dp,epsfi,epsfx,epspi,epspx,ib,ibmii,mii,ni,nopi,pi,ppent,reuna,sale,seq,teq,txt,wcap,xido,xint,xsga,cshtr_c,at,adjex_f
46,2435,2011,SUMM_STD,BF.B,BROWN-FORMAN  -CL B,68784064.67,1920.799,,3477,58,1773,216.104,214.549,503,49,2.37,2.37,2.39,2.39,513,513,0,513,4,760,399,3031,3614,2069,2069,247,1345,0,31,1005,68758173,3477,1.5
47,2435,2011,STD,BF.B,BROWN-FORMAN  -CL B,68782143.87,1920.799,,3477,58,882,144.055,143.019,503,49,3.56,3.56,3.59,3.59,513,513,0,513,4,760,399,3031,2723,2069,2069,247,1345,0,31,1005,68758173,3477,1.5
48,2435,2012,SUMM_STD,BF.B,BROWN-FORMAN  -CL B,96442511.9,1861,,3626,95,1778,214.986,213.369,997,51,2.75,2.75,2.77,2.77,591,591,0,591,-5,865,450,2500,3784,1628,1628,274,1348,0,27,1058,96416568.5,3626,1
49,2435,2012,STD,BF.B,BROWN-FORMAN  -CL B,96440650.9,1861,,3626,95,843,214.986,213.369,997,51,2.75,2.75,2.77,2.77,591,591,0,591,4,865,450,2500,2849,1628,1628,274,1348,0,27,1058,96416568.5,3626,1
50,2435,2013,SUMM_STD,BF.B,BROWN-FORMAN  -CL B,84125522.82,1910,,4103,126,1818,215.082,213.454,997,50,3.06,3.06,3.08,3.08,659,659,0,659,17,947,526,2894,3946,2032,2032,288,1616,0,26,1122,84096461,4103,1
51,2435,2013,STD,BF.B,BROWN-FORMAN  -CL B,84123612.82,1910,,4103,126,863,215.082,213.454,997,50,3.06,3.06,3.08,3.08,659,659,0,659,17,947,526,2894,2991,2032,2032,288,1616,0,26,1122,84096461,4103,1
52,2606,2009,SUMM_STD,CAGAQ,CAGLE'S INC  -CL A,656863.858,0,,87.619,2.482,281.403,4.617,4.617,25.033,4.492,0.55,0.55,0.55,0.55,2.537,2.537,0,2.537,0.071,3.775,34.869,27.199,307.091,35.335,35.335,1.238,16.76,0,1.605,15.887,655876,87.619,1
53,2606,2009,STD,CAGAQ,CAGLE'S INC  -CL A,656863.858,0,,87.619,2.482,281.403,4.617,4.617,25.033,4.492,0.55,0.55,0.55,0.55,2.537,2.537,0,2.537,0.071,3.775,34.869,27.199,307.091,35.335,35.335,1.238,16.76,0,1.605,15.887,655876,87.619,1
54,2606,2010,SUMM_STD,CAGAQ,CAGLE'S INC  -CL A,1058575.971,0,,90.313,3.556,288.267,4.616,4.616,16.28,5.175,-0.12,-0.12,-0.12,-0.12,-0.566,-0.566,0,-0.566,0.167,-0.342,33.245,26.633,310.098,34.769,34.769,0.224,10.285,0,1.267,15.898,1057607,90.313,1
55,2606,2010,STD,CAGAQ,CAGLE'S INC  -CL A,1058575.971,0,,90.313,3.556,288.267,4.616,4.616,16.28,5.175,-0.12,-0.12,-0.12,-0.12,-0.566,-0.566,0,-0.566,0.167,-0.342,33.245,26.633,310.098,34.769,34.769,0.224,10.285,0,1.267,15.898,1057607,90.313,1
56,2663,2010,SUMM_STD,CPB,CAMPBELL SOUP CO,610664098.4,-7061.3,,6276,315,,343,340,1945,,2.42,2.27,2.44,2.29,791,791,0,844,,1166,2051,8760,7085,926,929,375,-378,53,116,,610625084,6276,1
57,2663,2010,STD,CPB,CAMPBELL SOUP CO,610671159.7,,,6276,315,4275,343,340,1945,251,2.42,2.42,2.44,2.44,844,844,,844,6,1242,2051,8760,7676,926,929,398,-378,0,116,1786,610625084,6276,1
58,2663,2011,SUMM_STD,CPB,CAMPBELL SOUP CO,594295626.4,-1276.32,,6862,272,4002,329,326,2427,253,2.42,2.26,2.44,2.28,752,749,-3,805,-59,1100,2103,9185,7143,1088,1096,351,-26,53,123,1606,594248217,6862,1
59,2663,2011,STD,CPB,CAMPBELL SOUP CO,594296902.7,-1276.32,,6862,272,4351,329,326,2427,265,2.42,2.42,2.44,2.44,805,802,-3,805,2,1168,2103,9185,7719,1088,1096,366,-26,0,123,1748,594248217,6862,1
60,2663,2012,SUMM_STD,CPB,CAMPBELL SOUP CO,507401238.4,-1130.25,,6530,323,4118,319,317,2004,247,2.41,2.29,2.43,2.3,734,724,-10,774,-8,1049,2127,9584,7175,898,898,325,-299,40,116,1637,507355076,6530,1
61,2663,2012,STD,CPB,CAMPBELL SOUP CO,507402368.7,-1130.25,,6530,323,4457,319,317,2004,259,2.41,2.41,2.43,2.43,774,764,-10,774,6,1106,2127,9584,7707,898,898,342,-299,0,116,1756,507355076,6530,1
62,2663,2013,SUMM_STD,CPB,CAMPBELL SOUP CO,471361123.3,-180,,8323,336,4667,317,314,2544,382,1.44,2.17,1.46,2.19,689,680,-9,458,-158,955,2260,1772,8052,1217,1210,275,-1061,-231,138,1752,471317910,8323,1
63,2663,2013,STD,CPB,CAMPBELL SOUP CO,471361303.3,-180,,8323,336,4667,317,314,2544,396,1.44,2.17,1.46,2.19,689,680,-9,458,8,955,2260,1772,8052,1217,1210,275,-1061,-231,138,1752,471317910,8323,1
64,2710,2009,SUMM_STD,STZ,CONSTELLATION BRANDS,634017088.1,-886.6,,8094.3,107.7,2043.8,221.21,219.831,3277.1,143.8,0.45,0.45,,,99.3,99.3,0,99.3,,259.3,1567.2,1102.8,3364.8,2576.3,2576.3,160,1216.5,0,265.1,,633981498,8094.3,1
65,2710,2009,STD,STZ,CONSTELLATION BRANDS,634017974.7,-886.6,,8094.3,107.7,2038,221.21,219.831,3277.1,149.6,0.45,0.45,0.45,0.45,99.3,99.3,0,99.3,224,259.3,1567.2,1102.8,3364.8,2576.3,2576.3,160,1216.5,0,275.5,651.3,633981498,8094.3,1
66,2710,2010,SUMM_STD,STZ,CONSTELLATION BRANDS,466175006.4,-975,,7167.6,89.1,2020.2,213.765,210.91,3136.7,119.2,2.62,2.62,,,559.5,559.5,,559.5,,551,1219.6,1662.3,3332,2551.9,2551.9,-8.5,1420.1,0,195.3,,466139721,7167.6,1
67,2710,2010,STD,STZ,CONSTELLATION BRANDS,466175981.4,-975,,7167.6,89.1,2014.7,213.765,210.91,3136.7,122.5,2.62,2.62,2.65,2.65,559.5,559.5,,559.5,247.3,551,1219.6,1662.3,3332,2551.9,2551.9,-8.5,1420.1,0,198.8,721.1,466139721,7167.6,1
68,2710,2011,SUMM_STD,STZ,CONSTELLATION BRANDS,520029815.2,-71.06,,7109.9,68.4,1491.9,208.655,204.314,2421.4,98.4,2.13,2.13,,,445,445,,445,175,534,1255.8,2107.3,2654.3,2676,2676,89,834.7,0,181,524,519996055,7109.9,1
69,2710,2011,STD,STZ,CONSTELLATION BRANDS,520029886.3,-71.06,,7109.9,68.4,1486.8,208.655,204.314,2421.4,103.5,2.13,2.13,2.18,2.18,445,445,,445,235.1,534,1255.8,2107.3,2654.3,2676,2676,89,834.7,0,187.6,524,519996055,7109.9,1
70,2710,2012,SUMM_STD,STZ,CONSTELLATION BRANDS,584829038.3,-43.3599999,,7638.1,62.1,1571.8,190.307,182.19,3277.8,108.2,2.04,2.04,,,387.8,387.8,,387.8,197.7,516.4,1229,2495.1,2796.1,2860.3,2860.3,128.6,1793.3,0,227.1,570.3,584791527,7638.1,1
71,2710,2012,STD,STZ,CONSTELLATION BRANDS,584829081.6,-43.3599999,,7638.1,62.1,1564.6,190.307,182.19,3277.8,115.4,2.04,2.04,2.13,2.13,387.8,387.8,,387.8,240.9,516.4,1229,2495.1,2796.1,2860.3,2860.3,128.6,1793.3,0,233.9,559.4,584791527,7638.1,1
72,2710,2013,SUMM_STD,STZ,CONSTELLATION BRANDS,639388464.3,1232.34,,14302.1,223.5,2719.2,197.57,188.154,6373.3,139.8,9.83,9.83,,,1943.1,1943.1,,1943.1,1356.2,2202.3,2014.3,4438.2,4867.7,4981.3,4981.3,259.2,721.5,0,323.2,839.4,639317184,14302.1,1
73,2710,2013,STD,STZ,CONSTELLATION BRANDS,639387231.9,1232.34,,14302.1,223.5,2703.7,197.57,188.154,6373.3,155.3,9.83,9.83,10.33,10.33,1943.1,1943.1,,1943.1,95.5,2202.3,2014.3,4438.2,4867.7,4981.3,4981.3,259.2,721.5,0,330.9,839.4,639317184,14302.1,1
74,2807,2009,SUMM_STD,CASY,CASEYS GENERAL STORES INC,117383000.3,899.498,,1388.775,129.233,3844.735,51.053,50.899,154.754,73.546,2.29,2.29,2.3,2.3,116.962,116.962,0,116.962,-6.862,181.582,1010.911,759.88,4637.087,824.319,824.319,64.62,69.199,0,10.933,519.429,117366662,1388.775,1
75,2807,2009,STD,CASY,CASEYS GENERAL STORES INC,117382100.8,899.498,,1388.775,129.233,3390.735,51.053,50.899,154.754,73.546,2.29,2.29,2.3,2.3,116.962,116.962,0,116.962,0.731,181.582,1010.911,759.88,4183.087,824.319,824.319,64.62,69.377,0,11.664,519.429,117366662,1388.775,1
76,2807,2010,SUMM_STD,CASY,CASEYS GENERAL STORES INC,194162343.5,961.08,,1610.955,214.573,4754.173,42.567,42.285,678.68,82.355,2.22,2.22,2.24,2.24,94.623,94.623,0,94.623,-27.388,151.237,1217.305,399.9,5635.24,403.896,403.896,56.614,-0.613,0,28.497,591.59,194144153,1610.955,1
77,2807,2010,STD,CASY,CASEYS GENERAL STORES INC,194161382.4,961.08,,1610.955,214.573,4259.173,42.567,42.285,678.68,82.355,2.22,2.22,2.24,2.24,94.623,94.623,0,94.623,0.766,151.237,1217.305,399.9,5140.24,403.896,403.896,56.614,-0.613,0,29.263,591.59,194144153,1610.955,1
78,2807,2011,SUMM_STD,CASY,CASEYS GENERAL STORES INC,74231258.13,1052.236,,1774.815,240.874,5984.114,38.392,38.068,667.93,96.552,3.04,3.04,3.07,3.07,116.791,116.791,0,116.791,0,183.515,1378.749,493.842,6987.804,506.041,506.041,66.724,-27.363,0,35.192,688.431,74209460,1774.815,1
79,2807,2011,STD,CASY,CASEYS GENERAL STORES INC,74230205.89,1052.236,,1774.815,240.874,5457.114,38.392,38.068,667.93,96.552,3.04,3.04,3.07,3.07,116.791,116.791,0,116.791,0.882,183.515,1378.749,493.842,6460.804,506.041,506.041,66.724,-27.363,0,36.074,688.431,74209460,1774.815,1
80,2807,2012,SUMM_STD,CASY,CASEYS GENERAL STORES INC,66788676.65,1189.79,,1984.018,305.301,6168.475,38.62,38.297,653.081,111.823,2.86,2.86,2.89,2.89,110.625,110.625,0,110.625,0,175.129,1581.925,579.176,7250.84,602.295,602.295,64.504,-124.931,0,35.048,760.365,66765522,1984.018,1
81,2807,2012,STD,CASY,CASEYS GENERAL STORES INC,66787486.86,1189.79,,1984.018,305.301,5572.475,38.62,38.297,653.081,111.823,2.86,2.86,2.89,2.89,110.625,110.625,0,110.625,1.105,175.129,1581.925,579.176,6654.84,602.295,602.295,64.504,-124.931,0,36.153,760.365,66765522,1984.018,1
82,2807,2013,SUMM_STD,CASY,CASEYS GENERAL STORES INC,58943004.4,1289.218,,2293.462,308.633,6605.996,38.868,38.458,853.642,131.16,3.46,3.46,3.5,3.5,134.514,134.514,0,134.514,0,206.532,1778.965,685.988,7840.255,719.866,719.866,72.018,15.201,0,39.27,857.297,58917087,2293.462,1
83,2807,2013,STD,CASY,CASEYS GENERAL STORES INC,58941715.18,1289.218,,2293.462,308.633,5959.996,38.868,38.458,853.642,131.16,3.46,3.46,3.5,3.5,134.514,134.514,0,134.514,1.391,206.532,1778.965,685.988,7194.255,719.866,719.866,72.018,15.201,0,40.661,857.297,58917087,2293.462,1
84,2812,2010,SUMM_STD,DOLE,DOLE FOOD CO INC,135060156.4,-4184.696,,4257,87.402,4255.436,87.866,87.451,1564.325,75.9,-0.39,0.88,-0.39,0.88,76.742,78.04,1.298,-34.124,16.245,84.04,943.03,71.083,4686.858,792.169,816.784,6,695,-110.866,8.256,279.471,135037072,4257,1
85,2812,2010,STD,DOLE,DOLE FOOD CO INC,135064341.1,,,4256.99,87.402,6088.625,87.451,87.451,1564.325,114.239,-0.39,-0.43,-0.39,-0.43,-37.71,-33.752,3.958,-34.124,-42.415,-20.358,943.03,71.083,6892.614,792.169,816.784,13.394,695.174,3.586,163.95,498.866,135037072,4256.99,1
86,2812,2011,SUMM_STD,DOLE,DOLE FOOD CO INC,93613790.06,-4772.916,-0.005098518,4271.322,82.187,4311.86,88.081,87.619,1641.112,63.9,0.44,1.15,0.44,1.15,100.491,101.778,1.287,38.359,-3.57,99.708,910.729,109.442,4778.424,792.504,818.421,-2.07,728.724,-62.132,9.628,289.758,93590257,4271.322,1
87,2812,2011,STD,DOLE,DOLE FOOD CO INC,93618562.98,-4772.916,-0.005098518,4270.071,82.187,6329.47,88.081,87.619,1641.112,103.921,0.44,0.44,0.44,0.44,38.221,41.655,3.434,38.359,-8.285,48.176,910.729,109.442,7223.836,792.504,818.421,6.521,729.975,0.138,142.43,535.132,93590257,4270.071,1
